nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 1.999999970E-03, 9.125388810E-03, 9.900000244E-01
         2, 1.960885422E-03, 9.150000021E-03, 9.899999797E-01
         3, 1.846582998E-03, 9.292915086E-03, 9.899999872E-01
         4, 1.843323222E-03, 9.300000187E-03, 9.900000077E-01
         5, 1.794007663E-03, 9.450000106E-03, 9.900000393E-01
         6, 1.761313957E-03, 9.600000120E-03, 9.899999797E-01
         7, 1.736967172E-03, 9.750000128E-03, 9.900000095E-01
         8, 1.717581827E-03, 9.900000134E-03, 9.899999797E-01
         9, 1.701495175E-03, 1.005000014E-02, 9.900000244E-01
        10, 1.692765154E-03, 1.014234333E-02, 9.900000095E-01
        11, 1.682217720E-03, 1.019999991E-02, 9.900000170E-01
        12, 1.658058814E-03, 1.034999999E-02, 9.899999797E-01
        13, 1.637567606E-03, 1.049999984E-02, 9.900000095E-01
        14, 1.619972743E-03, 1.064999984E-02, 9.900000095E-01
        15, 1.604701638E-03, 1.080000015E-02, 9.900000095E-01
        16, 1.591325807E-03, 1.095000015E-02, 9.899999797E-01
        17, 1.579511867E-03, 1.110000015E-02, 9.900000095E-01
        18, 1.569003783E-03, 1.125000015E-02, 9.900000244E-01
        19, 1.559485817E-03, 1.140000015E-02, 9.899999946E-01
        20, 1.550722442E-03, 1.155000014E-02, 9.900000095E-01
        21, 1.542642505E-03, 1.170000014E-02, 9.900000170E-01
        22, 1.538819453E-03, 1.177570888E-02, 9.899999797E-01
        23, 1.531112784E-03, 1.184999992E-02, 9.899999648E-01
        24, 1.516591396E-03, 1.200000014E-02, 9.899999797E-01
        25, 1.503291978E-03, 1.215000031E-02, 9.900000095E-01
        26, 1.491097749E-03, 1.230000049E-02, 9.900000095E-01
        27, 1.479901326E-03, 1.245000049E-02, 9.900000393E-01
        28, 1.469598345E-03, 1.260000012E-02, 9.899999797E-01
        29, 1.460097703E-03, 1.275000011E-02, 9.900000393E-01
        30, 1.451316967E-03, 1.290000011E-02, 9.899999797E-01
        31, 1.443168053E-03, 1.305000010E-02, 9.900000095E-01
        32, 1.435529751E-03, 1.320000010E-02, 9.900000393E-01
        33, 1.428321789E-03, 1.335000009E-02, 9.899999797E-01
        34, 1.421534476E-03, 1.350000008E-02, 9.900000393E-01
        35, 1.415153267E-03, 1.365000007E-02, 9.900000244E-01
        36, 1.409159755E-03, 1.380000007E-02, 9.900000244E-01
        37, 1.403535992E-03, 1.395000006E-02, 9.900000095E-01
        38, 1.398259770E-03, 1.410000005E-02, 9.900000095E-01
        39, 1.393312195E-03, 1.425000004E-02, 9.900000244E-01
        40, 1.388673888E-03, 1.440000003E-02, 9.900000114E-01
        41, 1.384878344E-03, 1.453052129E-02, 9.899999946E-01
        42, 1.383720528E-03, 1.454999964E-02, 9.899999793E-01
        43, 1.375151759E-03, 1.469999991E-02, 9.900000170E-01
        44, 1.367053911E-03, 1.484999979E-02, 9.899999723E-01
        45, 1.359391127E-03, 1.500000022E-02, 9.900000095E-01
        46, 1.352144974E-03, 1.514999999E-02, 9.900000095E-01
        47, 1.345283993E-03, 1.529999998E-02, 9.900000095E-01
        48, 1.338790008E-03, 1.545000043E-02, 9.900000393E-01
        49, 1.332635940E-03, 1.559999996E-02, 9.900000095E-01
        50, 1.326767069E-03, 1.574999948E-02, 9.900000095E-01
        51, 1.321145232E-03, 1.589999994E-02, 9.900000393E-01
        52, 1.315764318E-03, 1.604999993E-02, 9.900000095E-01
        53, 1.310624162E-03, 1.619999944E-02, 9.900000095E-01
        54, 1.305718578E-03, 1.634999991E-02, 9.900000393E-01
        55, 1.301038538E-03, 1.649999990E-02, 9.899999797E-01
        56, 1.296577205E-03, 1.664999989E-02, 9.900000095E-01
        57, 1.292324347E-03, 1.679999988E-02, 9.899999797E-01
        58, 1.288270549E-03, 1.694999987E-02, 9.900000095E-01
        59, 1.284402250E-03, 1.709999986E-02, 9.900000393E-01
        60, 1.280705739E-03, 1.724999985E-02, 9.900000095E-01
        61, 1.277167519E-03, 1.739999984E-02, 9.899999797E-01
        62, 1.273774844E-03, 1.754999983E-02, 9.899999797E-01
        63, 1.270510847E-03, 1.769999982E-02, 9.899999797E-01
        64, 1.267360076E-03, 1.784999981E-02, 9.899999797E-01
        65, 1.264315410E-03, 1.799999980E-02, 9.900000393E-01
        66, 1.261371591E-03, 1.814999976E-02, 9.899999946E-01
        67, 1.258522215E-03, 1.829999973E-02, 9.900000244E-01
        68, 1.255764527E-03, 1.844999970E-02, 9.899999946E-01
        69, 1.253104787E-03, 1.859999966E-02, 9.900000095E-01
        70, 1.250541664E-03, 1.874999963E-02, 9.899999946E-01
        71, 1.248069753E-03, 1.889999960E-02, 9.900000170E-01
        72, 1.245691632E-03, 1.904999957E-02, 9.900000021E-01
        73, 1.243404742E-03, 1.919999953E-02, 9.899999872E-01
        74, 1.241207650E-03, 1.934999950E-02, 9.899999797E-01
        75, 1.239098440E-03, 1.949999947E-02, 9.900000095E-01
        76, 1.237070274E-03, 1.964999943E-02, 9.899999872E-01
        77, 1.235112931E-03, 1.979999940E-02, 9.900000077E-01
        78, 1.233225547E-03, 1.994999937E-02, 9.900000310E-01
        79, 1.231398397E-03, 2.009999934E-02, 9.899999937E-01
        80, 1.230948506E-03, 2.013771093E-02, 9.900000244E-01
        81, 1.228062909E-03, 2.024999881E-02, 9.899999574E-01
        82, 1.224283616E-03, 2.039999889E-02, 9.899999946E-01
        83, 1.220580195E-03, 2.054999954E-02, 9.900000244E-01
        84, 1.216952131E-03, 2.069999951E-02, 9.900000319E-01
        85, 1.213408595E-03, 2.084999979E-02, 9.900000617E-01
        86, 1.209948291E-03, 2.099999977E-02, 9.900000542E-01
        87, 1.206566012E-03, 2.114999848E-02, 9.899999797E-01
        88, 1.203255648E-03, 2.129999844E-02, 9.899999946E-01
        89, 1.200014330E-03, 2.144999904E-02, 9.900000244E-01
        90, 1.196848948E-03, 2.159999933E-02, 9.900000542E-01
        91, 1.193764304E-03, 2.174999898E-02, 9.900000393E-01
        92, 1.190753636E-03, 2.189999894E-02, 9.900000095E-01
        93, 1.187808519E-03, 2.204999825E-02, 9.899999797E-01
        94, 1.184923424E-03, 2.219999888E-02, 9.899999797E-01
        95, 1.182099392E-03, 2.234999885E-02, 9.900000095E-01
        96, 1.179333900E-03, 2.249999814E-02, 9.899999797E-01
        97, 1.176621254E-03, 2.264999878E-02, 9.900000095E-01
        98, 1.173960908E-03, 2.279999875E-02, 9.900000095E-01
        99, 1.171354239E-03, 2.294999940E-02, 9.900000393E-01
       100, 1.168797081E-03, 2.309999937E-02, 9.900000691E-01
       101, 1.166287721E-03, 2.324999796E-02, 9.899999499E-01
       102, 1.163826711E-03, 2.339999792E-02, 9.899999797E-01
       103, 1.161410202E-03, 2.354999859E-02, 9.900000095E-01
       104, 1.159036554E-03, 2.369999785E-02, 9.899999797E-01
       105, 1.156705274E-03, 2.384999852E-02, 9.900000095E-01
       106, 1.154416282E-03, 2.399999849E-02, 9.900000095E-01
       107, 1.152167932E-03, 2.414999846E-02, 9.900000393E-01
       108, 1.149956645E-03, 2.429999843E-02, 9.899999797E-01
       109, 1.147783651E-03, 2.444999839E-02, 9.900000095E-01
       110, 1.145650334E-03, 2.459999836E-02, 9.900000095E-01
       111, 1.143553833E-03, 2.474999833E-02, 9.899999797E-01
       112, 1.141490073E-03, 2.489999830E-02, 9.899999797E-01
       113, 1.139461549E-03, 2.504999826E-02, 9.900000393E-01
       114, 1.137466996E-03, 2.519999823E-02, 9.900000393E-01
       115, 1.135506542E-03, 2.534999820E-02, 9.900000095E-01
       116, 1.133578443E-03, 2.549999817E-02, 9.900000095E-01
       117, 1.131679562E-03, 2.564999814E-02, 9.900000095E-01
       118, 1.129809430E-03, 2.579999810E-02, 9.900000393E-01
       119, 1.127968744E-03, 2.594999807E-02, 9.900000393E-01
       120, 1.126153358E-03, 2.609999804E-02, 9.900000393E-01
       121, 1.124363325E-03, 2.624999801E-02, 9.900000393E-01
       122, 1.122598748E-03, 2.639999798E-02, 9.900000095E-01
       123, 1.120853926E-03, 2.654999794E-02, 9.900000095E-01
       124, 1.119130302E-03, 2.669999791E-02, 9.899999797E-01
       125, 1.117426784E-03, 2.684999788E-02, 9.899999797E-01
       126, 1.115742608E-03, 2.699999785E-02, 9.900000244E-01
