nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 2.000000000E-03, 9.194699094E-03, 9.900000095E-01
         2, 1.899938435E-03, 9.300000053E-03, 9.900000095E-01
         3, 1.846583386E-03, 9.380551171E-03, 9.900000393E-01
         4, 1.820877135E-03, 9.449999811E-03, 9.899999797E-01
         5, 1.779345156E-03, 9.600000111E-03, 9.900000095E-01
         6, 1.747426680E-03, 9.750000123E-03, 9.900000095E-01
         7, 1.721201883E-03, 9.900000132E-03, 9.900000244E-01
         8, 1.698949414E-03, 1.005000014E-02, 9.899999797E-01
         9, 1.692764925E-03, 1.009729718E-02, 9.899999797E-01
        10, 1.672411871E-03, 1.019999999E-02, 9.899999797E-01
        11, 1.646820039E-03, 1.035000015E-02, 9.900000393E-01
        12, 1.624513038E-03, 1.050000016E-02, 9.900000095E-01
        13, 1.604594140E-03, 1.065000016E-02, 9.900000095E-01
        14, 1.586753343E-03, 1.080000016E-02, 9.899999797E-01
        15, 1.570750560E-03, 1.095000016E-02, 9.899999946E-01
        16, 1.556356935E-03, 1.110000016E-02, 9.900000170E-01
        17, 1.543344007E-03, 1.125000016E-02, 9.899999872E-01
        18, 1.538817634E-03, 1.130557422E-02, 9.900000095E-01
        19, 1.525986804E-03, 1.139999982E-02, 9.899999797E-01
        20, 1.506815048E-03, 1.154999999E-02, 9.899999797E-01
        21, 1.489067801E-03, 1.170000051E-02, 9.900000393E-01
        22, 1.472672201E-03, 1.185000051E-02, 9.900000095E-01
        23, 1.457530211E-03, 1.200000015E-02, 9.900000095E-01
        24, 1.443537727E-03, 1.215000015E-02, 9.899999797E-01
        25, 1.430571478E-03, 1.230000014E-02, 9.899999797E-01
        26, 1.418423009E-03, 1.245000014E-02, 9.900000095E-01
        27, 1.406923090E-03, 1.260000013E-02, 9.900000095E-01
        28, 1.396030658E-03, 1.275000013E-02, 9.900000021E-01
        29, 1.385720854E-03, 1.290000012E-02, 9.900000296E-01
        30, 1.384871926E-03, 1.291280534E-02, 9.899999946E-01
        31, 1.370265811E-03, 1.305000031E-02, 9.899999946E-01
        32, 1.355202375E-03, 1.320000031E-02, 9.899999946E-01
        33, 1.341026640E-03, 1.335000010E-02, 9.899999797E-01
        34, 1.327668263E-03, 1.349999969E-02, 9.899999797E-01
        35, 1.315016595E-03, 1.365000009E-02, 9.900000393E-01
        36, 1.302955181E-03, 1.380000008E-02, 9.900000393E-01
        37, 1.291435478E-03, 1.395000007E-02, 9.899999797E-01
        38, 1.280429306E-03, 1.410000006E-02, 9.900000393E-01
        39, 1.269925470E-03, 1.425000005E-02, 9.900000393E-01
        40, 1.259899580E-03, 1.440000004E-02, 9.899999797E-01
        41, 1.250330841E-03, 1.455000003E-02, 9.900000244E-01
        42, 1.241204078E-03, 1.470000002E-02, 9.900000170E-01
        43, 1.232494402E-03, 1.485000001E-02, 9.900000263E-01
        44, 1.230927639E-03, 1.487783635E-02, 9.899999946E-01
        45, 1.220605132E-03, 1.500000022E-02, 9.900000542E-01
        46, 1.208426638E-03, 1.515000022E-02, 9.900000393E-01
        47, 1.196723780E-03, 1.529999998E-02, 9.900000393E-01
        48, 1.185473474E-03, 1.544999997E-02, 9.899999797E-01
        49, 1.174645817E-03, 1.559999996E-02, 9.900000095E-01
        50, 1.164236308E-03, 1.574999947E-02, 9.899999797E-01
        51, 1.154228247E-03, 1.589999946E-02, 9.899999797E-01
        52, 1.144603080E-03, 1.604999992E-02, 9.900000393E-01
        53, 1.135350941E-03, 1.619999991E-02, 9.899999797E-01
        54, 1.126454244E-03, 1.634999989E-02, 9.900000393E-01
        55, 1.117896885E-03, 1.649999988E-02, 9.900000095E-01
        56, 1.109655034E-03, 1.664999987E-02, 9.899999946E-01
        57, 1.101699271E-03, 1.679999985E-02, 9.899999946E-01
        58, 1.093996754E-03, 1.694999984E-02, 9.899999946E-01
        59, 1.086525911E-03, 1.709999982E-02, 9.900000058E-01
        60, 1.079269939E-03, 1.724999981E-02, 9.900000133E-01
        61, 1.076985158E-03, 1.729808200E-02, 9.899999797E-01
        62, 1.070052016E-03, 1.739999992E-02, 9.900000095E-01
        63, 1.060046946E-03, 1.754999939E-02, 9.899999797E-01
        64, 1.050268941E-03, 1.770000003E-02, 9.900000542E-01
        65, 1.040723455E-03, 1.785000001E-02, 9.900000095E-01
        66, 1.031407950E-03, 1.800000027E-02, 9.900000691E-01
        67, 1.022350935E-03, 1.815000024E-02, 9.900000095E-01
        68, 1.013588982E-03, 1.829999966E-02, 9.900000095E-01
        69, 1.005120321E-03, 1.845000018E-02, 9.900000691E-01
        70, 9.969512380E-04, 1.859999960E-02, 9.899999797E-01
        71, 9.890927710E-04, 1.874999956E-02, 9.899999797E-01
        72, 9.815356339E-04, 1.889999953E-02, 9.900000095E-01
        73, 9.742706138E-04, 1.904999950E-02, 9.899999797E-01
        74, 9.672779452E-04, 1.919999946E-02, 9.899999797E-01
        75, 9.605596466E-04, 1.934999943E-02, 9.900000244E-01
        76, 9.540723146E-04, 1.949999940E-02, 9.900000095E-01
        77, 9.478068094E-04, 1.964999937E-02, 9.899999797E-01
        78, 9.417465863E-04, 1.979999933E-02, 9.900000095E-01
        79, 9.358690075E-04, 1.994999930E-02, 9.900000170E-01
        80, 9.301517471E-04, 2.009999927E-02, 9.899999909E-01
        81, 9.245882166E-04, 2.024999924E-02, 9.900000254E-01
        82, 9.230449579E-04, 2.029278413E-02, 9.899999797E-01
        83, 9.176022753E-04, 2.039999875E-02, 9.899999760E-01
        84, 9.101599470E-04, 2.054999932E-02, 9.900000170E-01
        85, 9.028954259E-04, 2.069999914E-02, 9.900000244E-01
        86, 8.957629272E-04, 2.084999880E-02, 9.900000244E-01
        87, 8.887758514E-04, 2.099999939E-02, 9.900000095E-01
        88, 8.819052707E-04, 2.114999904E-02, 9.900000095E-01
        89, 8.751603931E-04, 2.129999964E-02, 9.900000393E-01
        90, 8.685075260E-04, 2.144999898E-02, 9.899999797E-01
        91, 8.619580202E-04, 2.159999830E-02, 9.899999797E-01
        92, 8.554907566E-04, 2.174999956E-02, 9.900000095E-01
        93, 8.491183940E-04, 2.189999823E-02, 9.899999499E-01
        94, 8.428150872E-04, 2.204999885E-02, 9.900000095E-01
        95, 8.365885170E-04, 2.219999882E-02, 9.899999797E-01
        96, 8.304276395E-04, 2.234999878E-02, 9.900000095E-01
        97, 8.243327486E-04, 2.249999875E-02, 9.899999797E-01
        98, 8.182990358E-04, 2.264999872E-02, 9.900000095E-01
        99, 8.123207475E-04, 2.279999869E-02, 9.900000095E-01
       100, 8.063919469E-04, 2.294999866E-02, 9.899999946E-01
       101, 8.005177909E-04, 2.309999863E-02, 9.899999946E-01
       102, 7.946893969E-04, 2.324999859E-02, 9.900000244E-01
       103, 7.889003323E-04, 2.339999856E-02, 9.900000244E-01
       104, 7.831647837E-04, 2.354999853E-02, 9.899999872E-01
       105, 7.774658116E-04, 2.369999850E-02, 9.900000058E-01
       106, 7.717997824E-04, 2.384999847E-02, 9.899999928E-01
       107, 7.691072759E-04, 2.392187027E-02, 9.900000393E-01
       108, 7.649155404E-04, 2.399999915E-02, 9.900000207E-01
       109, 7.569458343E-04, 2.414999787E-02, 9.899999872E-01
       110, 7.490381321E-04, 2.429999910E-02, 9.900000542E-01
       111, 7.411933010E-04, 2.444999834E-02, 9.900000244E-01
       112, 7.334216415E-04, 2.459999831E-02, 9.900000393E-01
       113, 7.256952026E-04, 2.474999754E-02, 9.899999797E-01
       114, 7.180332085E-04, 2.489999825E-02, 9.899999797E-01
       115, 7.104406053E-04, 2.504999822E-02, 9.900000393E-01
       116, 7.029048674E-04, 2.519999744E-02, 9.899999499E-01
       117, 6.954346112E-04, 2.534999816E-02, 9.899999797E-01
       118, 6.880367833E-04, 2.549999812E-02, 9.900000095E-01
       119, 6.806878098E-04, 2.564999809E-02, 9.900000095E-01
       120, 6.734095118E-04, 2.579999806E-02, 9.899999797E-01
       121, 6.661911532E-04, 2.594999803E-02, 9.900000095E-01
       122, 6.590172169E-04, 2.609999800E-02, 9.900000393E-01
       123, 6.519215723E-04, 2.624999797E-02, 9.899999946E-01
       124, 6.448708640E-04, 2.639999794E-02, 9.899999797E-01
       125, 6.378790213E-04, 2.654999791E-02, 9.900000244E-01
       126, 6.309513115E-04, 2.669999788E-02, 9.899999797E-01
       127, 6.240661245E-04, 2.684999785E-02, 9.900000282E-01
       128, 6.172228822E-04, 2.699999782E-02, 9.900000198E-01
       129, 6.151675895E-04, 2.704540011E-02, 9.900000095E-01
       130, 6.081167687E-04, 2.714999799E-02, 9.900000021E-01
       131, 5.981245554E-04, 2.729999796E-02, 9.900000095E-01
       132, 5.882521440E-04, 2.744999773E-02, 9.899999946E-01
       133, 5.785052947E-04, 2.759999770E-02, 9.900000095E-01
       134, 5.688514790E-04, 2.774999684E-02, 9.899999797E-01
       135, 5.593107928E-04, 2.789999847E-02, 9.900000691E-01
       136, 5.498966380E-04, 2.804999844E-02, 9.900000691E-01
       137, 5.405785495E-04, 2.819999673E-02, 9.899999797E-01
       138, 5.313649189E-04, 2.834999754E-02, 9.899999797E-01
       139, 5.222580679E-04, 2.849999751E-02, 9.900000095E-01
       140, 5.132605520E-04, 2.864999748E-02, 9.900000393E-01
       141, 5.043570468E-04, 2.879999745E-02, 9.900000095E-01
       142, 4.955700160E-04, 2.894999742E-02, 9.900000095E-01
       143, 4.868564135E-04, 2.909999740E-02, 9.900000393E-01
       144, 4.782623319E-04, 2.924999737E-02, 9.900000021E-01
       145, 4.697229682E-04, 2.939999734E-02, 9.900000207E-01
       146, 4.612254484E-04, 2.954999731E-02, 9.900004268E-01
       147, 4.481091365E-04, 2.969999684E-02, 9.899999872E-01
       148, 4.361410683E-04, 2.984999760E-02, 9.900000244E-01
       149, 4.308337942E-04, 3.000000000E-02, 9.900000095E-01
