nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 2.000000000E-03, 9.194960403E-03, 9.900000095E-01
         2, 1.900170583E-03, 9.300000053E-03, 9.900000095E-01
         3, 1.846583332E-03, 9.380864891E-03, 9.900000095E-01
         4, 1.820988885E-03, 9.450000092E-03, 9.900000095E-01
         5, 1.779434081E-03, 9.600000111E-03, 9.900000393E-01
         6, 1.747499349E-03, 9.750000123E-03, 9.900000095E-01
         7, 1.721261203E-03, 9.900000132E-03, 9.900000095E-01
         8, 1.698995568E-03, 1.005000014E-02, 9.900000207E-01
         9, 1.692764926E-03, 1.009762328E-02, 9.900000393E-01
        10, 1.672479087E-03, 1.019999999E-02, 9.899999648E-01
        11, 1.646885117E-03, 1.035000046E-02, 9.900000095E-01
        12, 1.624580667E-03, 1.050000047E-02, 9.900000393E-01
        13, 1.604673019E-03, 1.065000016E-02, 9.899999797E-01
        14, 1.586836884E-03, 1.080000016E-02, 9.900000393E-01
        15, 1.570840038E-03, 1.095000016E-02, 9.899999946E-01
        16, 1.556453451E-03, 1.110000016E-02, 9.900000244E-01
        17, 1.543443074E-03, 1.125000016E-02, 9.900000002E-01
        18, 1.538817639E-03, 1.130683889E-02, 9.900000393E-01
        19, 1.526164756E-03, 1.140000024E-02, 9.900000021E-01
        20, 1.507007256E-03, 1.155000016E-02, 9.899999797E-01
        21, 1.489265958E-03, 1.170000016E-02, 9.900000393E-01
        22, 1.472872904E-03, 1.185000051E-02, 9.900000393E-01
        23, 1.457734420E-03, 1.200000015E-02, 9.899999797E-01
        24, 1.443745101E-03, 1.215000015E-02, 9.900000095E-01
        25, 1.430784496E-03, 1.230000014E-02, 9.900000095E-01
        26, 1.418646469E-03, 1.245000014E-02, 9.900000095E-01
        27, 1.407156938E-03, 1.260000013E-02, 9.900000095E-01
        28, 1.396276820E-03, 1.275000013E-02, 9.900000244E-01
        29, 1.385975174E-03, 1.290000012E-02, 9.900000053E-01
        30, 1.384871942E-03, 1.291666368E-02, 9.900000319E-01
        31, 1.370683414E-03, 1.304999992E-02, 9.899999797E-01
        32, 1.355619197E-03, 1.320000031E-02, 9.900000095E-01
        33, 1.341442132E-03, 1.334999970E-02, 9.899999797E-01
        34, 1.328083709E-03, 1.350000009E-02, 9.900000095E-01
        35, 1.315436299E-03, 1.365000049E-02, 9.900000393E-01
        36, 1.303379555E-03, 1.380000008E-02, 9.900000095E-01
        37, 1.291865285E-03, 1.395000007E-02, 9.900000393E-01
        38, 1.280868188E-03, 1.410000006E-02, 9.900000095E-01
        39, 1.270368372E-03, 1.425000005E-02, 9.899999797E-01
        40, 1.260346142E-03, 1.440000004E-02, 9.900000393E-01
        41, 1.250785644E-03, 1.455000003E-02, 9.900000393E-01
        42, 1.241658972E-03, 1.470000002E-02, 9.899999872E-01
