nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 2.000000000E-03, 9.159300712E-03, 9.899999946E-01
         2, 1.870272926E-03, 9.300000069E-03, 9.900000244E-01
         3, 1.846583162E-03, 9.337884263E-03, 9.900000244E-01
         4, 1.806474762E-03, 9.450000100E-03, 9.899999797E-01
         5, 1.768047164E-03, 9.600000117E-03, 9.900000095E-01
         6, 1.738985664E-03, 9.750000127E-03, 9.899999797E-01
         7, 1.715358585E-03, 9.900000135E-03, 9.900000244E-01
         8, 1.695165040E-03, 1.005000014E-02, 9.900000356E-01
         9, 1.692764816E-03, 1.006986379E-02, 9.899999797E-01
        10, 1.667433782E-03, 1.019999984E-02, 9.900000095E-01
        11, 1.642661230E-03, 1.034999985E-02, 9.899999797E-01
        12, 1.621518944E-03, 1.050000016E-02, 9.900000095E-01
        13, 1.603078836E-03, 1.065000016E-02, 9.900000393E-01
        14, 1.586597365E-03, 1.080000016E-02, 9.899999797E-01
        15, 1.571716747E-03, 1.095000016E-02, 9.899999946E-01
        16, 1.558272048E-03, 1.110000016E-02, 9.899999872E-01
        17, 1.546111512E-03, 1.125000016E-02, 9.900000244E-01
        18, 1.538817757E-03, 1.134814378E-02, 9.900000095E-01
        19, 1.532017292E-03, 1.139999994E-02, 9.899999835E-01
        20, 1.513787388E-03, 1.155000050E-02, 9.900000095E-01
        21, 1.497103814E-03, 1.170000015E-02, 9.900000095E-01
        22, 1.481619756E-03, 1.185000015E-02, 9.899999797E-01
        23, 1.467189738E-03, 1.200000015E-02, 9.900000095E-01
        24, 1.453774294E-03, 1.215000015E-02, 9.900000095E-01
        25, 1.441325201E-03, 1.230000014E-02, 9.900000095E-01
        26, 1.429775271E-03, 1.245000014E-02, 9.900000095E-01
        27, 1.419060519E-03, 1.260000013E-02, 9.900000393E-01
        28, 1.409107635E-03, 1.275000012E-02, 9.899999946E-01
        29, 1.399845732E-03, 1.290000012E-02, 9.900000244E-01
        30, 1.391136772E-03, 1.305000011E-02, 9.899999872E-01
        31, 1.384872918E-03, 1.316283147E-02, 9.900000095E-01
        32, 1.381333133E-03, 1.319999993E-02, 9.900000188E-01
        33, 1.367506893E-03, 1.334999970E-02, 9.899999723E-01
        34, 1.354394641E-03, 1.349999989E-02, 9.899999797E-01
        35, 1.341989723E-03, 1.365000008E-02, 9.900000393E-01
        36, 1.330263618E-03, 1.380000008E-02, 9.900000095E-01
        37, 1.319188211E-03, 1.394999965E-02, 9.899999797E-01
        38, 1.308728321E-03, 1.410000006E-02, 9.900000095E-01
        39, 1.298850673E-03, 1.425000005E-02, 9.900000393E-01
        40, 1.289514442E-03, 1.440000004E-02, 9.900000393E-01
        41, 1.280662544E-03, 1.455000003E-02, 9.899999797E-01
        42, 1.272213218E-03, 1.470000002E-02, 9.900000095E-01
        43, 1.264118003E-03, 1.485000001E-02, 9.899999797E-01
        44, 1.256364732E-03, 1.500000000E-02, 9.900000095E-01
        45, 1.248946386E-03, 1.514999999E-02, 9.899999946E-01
        46, 1.241846162E-03, 1.529999998E-02, 9.899999946E-01
        47, 1.235059886E-03, 1.544999997E-02, 9.899999965E-01
        48, 1.230930285E-03, 1.554493499E-02, 9.899999797E-01
        49, 1.227065140E-03, 1.559999993E-02, 9.900000338E-01
        50, 1.216888760E-03, 1.575000006E-02, 9.900000319E-01
        51, 1.207153717E-03, 1.589999946E-02, 9.900000095E-01
        52, 1.197854256E-03, 1.605000040E-02, 9.900000691E-01
        53, 1.188958922E-03, 1.619999991E-02, 9.900000095E-01
        54, 1.180451657E-03, 1.634999990E-02, 9.900000095E-01
        55, 1.172301811E-03, 1.650000038E-02, 9.900000393E-01
        56, 1.164460471E-03, 1.664999987E-02, 9.900000393E-01
        57, 1.156893933E-03, 1.680000036E-02, 9.900000691E-01
        58, 1.149584266E-03, 1.694999985E-02, 9.899999797E-01
        59, 1.142522537E-03, 1.709999983E-02, 9.899999797E-01
        60, 1.135696527E-03, 1.724999982E-02, 9.900000393E-01
        61, 1.129095281E-03, 1.739999981E-02, 9.900000095E-01
        62, 1.122703575E-03, 1.754999979E-02, 9.900000095E-01
