nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 2.000000000E-03, 9.185840106E-03, 9.899999946E-01
         2, 1.892136051E-03, 9.300000057E-03, 9.899999797E-01
         3, 1.846583288E-03, 9.369582787E-03, 9.900000393E-01
         4, 1.817032132E-03, 9.450000235E-03, 9.900000095E-01
         5, 1.776197037E-03, 9.600000112E-03, 9.900000393E-01
         6, 1.744922444E-03, 9.750000125E-03, 9.899999797E-01
         7, 1.719282008E-03, 9.900000133E-03, 9.899999797E-01
         8, 1.697494003E-03, 1.005000014E-02, 9.900000244E-01
         9, 1.692764883E-03, 1.008675706E-02, 9.900000095E-01
        10, 1.670414594E-03, 1.020000030E-02, 9.900000095E-01
        11, 1.645049296E-03, 1.034999985E-02, 9.900000095E-01
        12, 1.623066501E-03, 1.050000016E-02, 9.900000095E-01
        13, 1.603520903E-03, 1.065000016E-02, 9.900000393E-01
        14, 1.585985290E-03, 1.080000016E-02, 9.900000095E-01
        15, 1.570236836E-03, 1.095000016E-02, 9.900000393E-01
        16, 1.556066580E-03, 1.110000016E-02, 9.899999872E-01
        17, 1.543265532E-03, 1.125000016E-02, 9.900000114E-01
        18, 1.538817635E-03, 1.130592466E-02, 9.899999797E-01
        19, 1.526187703E-03, 1.140000007E-02, 9.900000170E-01
        20, 1.507336721E-03, 1.155000016E-02, 9.899999946E-01
        21, 1.489827334E-03, 1.170000016E-02, 9.900000095E-01
        22, 1.473620104E-03, 1.185000015E-02, 9.899999797E-01
        23, 1.458637492E-03, 1.200000015E-02, 9.900000095E-01
        24, 1.444784790E-03, 1.215000015E-02, 9.900000095E-01
        25, 1.431962388E-03, 1.230000014E-02, 9.900000095E-01
        26, 1.420046133E-03, 1.245000014E-02, 9.900000095E-01
        27, 1.408840625E-03, 1.260000013E-02, 9.899999946E-01
        28, 1.398215424E-03, 1.275000013E-02, 9.900000170E-01
        29, 1.388141166E-03, 1.290000012E-02, 9.900000226E-01
        30, 1.384872077E-03, 1.295067170E-02, 9.900000095E-01
        31, 1.374433026E-03, 1.305000011E-02, 9.900000319E-01
        32, 1.359457544E-03, 1.319999971E-02, 9.899999946E-01
        33, 1.345350136E-03, 1.335000010E-02, 9.900000095E-01
        34, 1.332062847E-03, 1.350000009E-02, 9.900000393E-01
        35, 1.319543556E-03, 1.365000009E-02, 9.900000095E-01
        36, 1.307684359E-03, 1.380000008E-02, 9.900000095E-01
        37, 1.296382656E-03, 1.395000007E-02, 9.900000095E-01
        38, 1.285575673E-03, 1.410000006E-02, 9.900000095E-01
        39, 1.275249866E-03, 1.425000005E-02, 9.900000095E-01
        40, 1.265386579E-03, 1.440000004E-02, 9.900000095E-01
        41, 1.255966579E-03, 1.455000003E-02, 9.899999946E-01
        42, 1.246971889E-03, 1.470000002E-02, 9.900000319E-01
        43, 1.238387405E-03, 1.485000001E-02, 9.899999946E-01
        44, 1.230928070E-03, 1.498642778E-02, 9.900000170E-01
        45, 1.229797667E-03, 1.499999992E-02, 9.899999844E-01
        46, 1.217676675E-03, 1.515000022E-02, 9.900000468E-01
        47, 1.206095193E-03, 1.529999975E-02, 9.899999797E-01
        48, 1.194987419E-03, 1.544999997E-02, 9.900000095E-01
        49, 1.184300168E-03, 1.559999996E-02, 9.900000393E-01
        50, 1.174014190E-03, 1.575000041E-02, 9.900000095E-01
        51, 1.164114276E-03, 1.589999993E-02, 9.899999797E-01
        52, 1.154585849E-03, 1.604999992E-02, 9.900000095E-01
        53, 1.145422142E-03, 1.619999991E-02, 9.900000393E-01
        54, 1.136602140E-03, 1.634999989E-02, 9.900000393E-01
        55, 1.128123863E-03, 1.649999988E-02, 9.900000393E-01
        56, 1.119961322E-03, 1.664999987E-02, 9.900000095E-01
        57, 1.112109581E-03, 1.679999985E-02, 9.899999946E-01
        58, 1.104542635E-03, 1.694999984E-02, 9.900000095E-01
        59, 1.097247792E-03, 1.709999983E-02, 9.899999946E-01
        60, 1.090188824E-03, 1.724999981E-02, 9.900000319E-01
        61, 1.083348840E-03, 1.739999980E-02, 9.900000207E-01
        62, 1.076986135E-03, 1.754338577E-02, 9.900000431E-01
        63, 1.076560684E-03, 1.754999965E-02, 9.900000044E-01
        64, 1.067043074E-03, 1.770000030E-02, 9.900000468E-01
        65, 1.057754322E-03, 1.785000028E-02, 9.900000170E-01
        66, 1.048692407E-03, 1.799999920E-02, 9.899999797E-01
        67, 1.039894162E-03, 1.814999970E-02, 9.900000095E-01
        68, 1.031376326E-03, 1.830000021E-02, 9.900000691E-01
        69, 1.023157672E-03, 1.844999909E-02, 9.899999499E-01
        70, 1.015253470E-03, 1.859999960E-02, 9.900000393E-01
        71, 1.007673604E-03, 1.874999957E-02, 9.899999797E-01
        72, 1.000403362E-03, 1.889999897E-02, 9.899999797E-01
        73, 9.934346071E-04, 1.904999950E-02, 9.899999797E-01
        74, 9.867465076E-04, 1.919999947E-02, 9.899999797E-01
        75, 9.803248959E-04, 1.934999944E-02, 9.900000393E-01
        76, 9.741488409E-04, 1.949999940E-02, 9.900000095E-01
        77, 9.682029907E-04, 1.964999937E-02, 9.899999797E-01
        78, 9.624635237E-04, 1.979999934E-02, 9.899999797E-01
        79, 9.569157121E-04, 1.994999931E-02, 9.899999946E-01
        80, 9.515413869E-04, 2.009999927E-02, 9.899999946E-01
        81, 9.463278297E-04, 2.024999924E-02, 9.900000095E-01
        82, 9.412509896E-04, 2.039999921E-02, 9.900000095E-01
        83, 9.362988916E-04, 2.054999918E-02, 9.899999797E-01
        84, 9.314651948E-04, 2.069999914E-02, 9.900000170E-01
        85, 9.267302989E-04, 2.084999911E-02, 9.900000188E-01
        86, 9.230476413E-04, 2.096910664E-02, 9.899999946E-01
        87, 9.216921601E-04, 2.099999922E-02, 9.900000356E-01
        88, 9.152427594E-04, 2.114999960E-02, 9.900000431E-01
        89, 9.088953510E-04, 2.129999917E-02, 9.900000319E-01
        90, 9.026388259E-04, 2.144999930E-02, 9.900000244E-01
        91, 8.964823141E-04, 2.159999895E-02, 9.900000393E-01
        92, 8.904008962E-04, 2.174999924E-02, 9.899999946E-01
        93, 8.843957467E-04, 2.189999889E-02, 9.900000393E-01
        94, 8.784708873E-04, 2.204999820E-02, 9.899999797E-01
        95, 8.726088485E-04, 2.219999882E-02, 9.900000393E-01
        96, 8.668146085E-04, 2.234999879E-02, 9.900000095E-01
        97, 8.610759674E-04, 2.249999876E-02, 9.900000393E-01
        98, 8.553946046E-04, 2.264999873E-02, 9.900000393E-01
        99, 8.497722221E-04, 2.279999937E-02, 9.900000393E-01
       100, 8.442027592E-04, 2.294999866E-02, 9.900000095E-01
       101, 8.386880923E-04, 2.309999863E-02, 9.899999797E-01
       102, 8.332153793E-04, 2.324999860E-02, 9.900000095E-01
       103, 8.277895202E-04, 2.339999857E-02, 9.899999797E-01
       104, 8.224160209E-04, 2.354999854E-02, 9.900000393E-01
       105, 8.170878798E-04, 2.369999851E-02, 9.899999797E-01
       106, 8.117979303E-04, 2.384999847E-02, 9.900000095E-01
       107, 8.065497695E-04, 2.399999844E-02, 9.900000393E-01
       108, 8.013456181E-04, 2.414999841E-02, 9.900000095E-01
       109, 7.961677382E-04, 2.429999838E-02, 9.899999797E-01
       110, 7.910403554E-04, 2.444999835E-02, 9.899999946E-01
       111, 7.859403912E-04, 2.459999832E-02, 9.900000244E-01
       112, 7.808715804E-04, 2.474999829E-02, 9.899999797E-01
       113, 7.758346387E-04, 2.489999826E-02, 9.900000207E-01
       114, 7.708287312E-04, 2.504999822E-02, 9.900000347E-01
       115, 7.691119575E-04, 2.510174494E-02, 9.900000393E-01
       116, 7.644172765E-04, 2.519999890E-02, 9.900000468E-01
       117, 7.573228903E-04, 2.534999778E-02, 9.900000170E-01
       118, 7.502851479E-04, 2.549999813E-02, 9.899999946E-01
       119, 7.433128415E-04, 2.564999772E-02, 9.899999797E-01
       120, 7.363949136E-04, 2.579999845E-02, 9.900000095E-01
       121, 7.295501112E-04, 2.594999804E-02, 9.900000095E-01
       122, 7.227658539E-04, 2.609999801E-02, 9.899999797E-01
       123, 7.160328460E-04, 2.624999798E-02, 9.900000393E-01
       124, 7.093829749E-04, 2.639999794E-02, 9.900000095E-01
       125, 7.027935754E-04, 2.654999791E-02, 9.900000095E-01
       126, 6.962604815E-04, 2.669999788E-02, 9.900000393E-01
       127, 6.897903917E-04, 2.684999785E-02, 9.899999797E-01
       128, 6.833869216E-04, 2.699999782E-02, 9.900000393E-01
       129, 6.770507777E-04, 2.714999779E-02, 9.900000095E-01
       130, 6.707679020E-04, 2.729999776E-02, 9.900000095E-01
       131, 6.645339174E-04, 2.744999773E-02, 9.900000393E-01
       132, 6.583479889E-04, 2.759999770E-02, 9.900000393E-01
       133, 6.522330662E-04, 2.774999767E-02, 9.899999797E-01
       134, 6.461629880E-04, 2.789999764E-02, 9.900000095E-01
       135, 6.401496649E-04, 2.804999761E-02, 9.899999946E-01
       136, 6.341666234E-04, 2.819999758E-02, 9.900000170E-01
       137, 6.282410162E-04, 2.834999755E-02, 9.900000095E-01
       138, 6.223506183E-04, 2.849999752E-02, 9.900000356E-01
       139, 6.165076708E-04, 2.864999749E-02, 9.900000105E-01
       140, 6.151740937E-04, 2.868454920E-02, 9.900000095E-01
       141, 6.085963171E-04, 2.879999778E-02, 9.900000431E-01
       142, 6.001247310E-04, 2.894999786E-02, 9.899999946E-01
       143, 5.917745566E-04, 2.909999740E-02, 9.900000244E-01
       144, 5.835227494E-04, 2.924999737E-02, 9.900000095E-01
       145, 5.753804930E-04, 2.939999646E-02, 9.899999499E-01
       146, 5.673706774E-04, 2.954999731E-02, 9.899999797E-01
       147, 5.594841404E-04, 2.969999728E-02, 9.900000095E-01
       148, 5.521935417E-04, 2.984999671E-02, 9.899999797E-01
       149, 5.488942303E-04, 3.000000000E-02, 9.900000095E-01
