nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 2.000000000E-03, 9.168156472E-03, 9.899999872E-01
         2, 1.877268831E-03, 9.300000065E-03, 9.900000095E-01
         3, 1.846583203E-03, 9.348224715E-03, 9.900000393E-01
         4, 1.809810952E-03, 9.450000239E-03, 9.899999946E-01
         5, 1.770517959E-03, 9.599999829E-03, 9.899999797E-01
         6, 1.740665756E-03, 9.750000127E-03, 9.900000095E-01
         7, 1.716317633E-03, 9.900000135E-03, 9.899999946E-01
         8, 1.695552298E-03, 1.005000014E-02, 9.900000170E-01
         9, 1.692764827E-03, 1.007252765E-02, 9.900000095E-01
        10, 1.667832862E-03, 1.020000000E-02, 9.899999648E-01
        11, 1.642884947E-03, 1.035000015E-02, 9.900000393E-01
        12, 1.621549739E-03, 1.050000016E-02, 9.900000393E-01
        13, 1.602779635E-03, 1.065000016E-02, 9.900000095E-01
        14, 1.585893197E-03, 1.080000016E-02, 9.900000393E-01
        15, 1.570683170E-03, 1.095000016E-02, 9.900000095E-01
        16, 1.556971240E-03, 1.110000016E-02, 9.899999946E-01
        17, 1.544586197E-03, 1.125000016E-02, 9.900000393E-01
        18, 1.538817715E-03, 1.132587235E-02, 9.900000393E-01
        19, 1.529036952E-03, 1.140000024E-02, 9.900000393E-01
        20, 1.510709678E-03, 1.155000033E-02, 9.900000244E-01
        21, 1.493770533E-03, 1.169999981E-02, 9.899999797E-01
        22, 1.477989206E-03, 1.185000015E-02, 9.899999797E-01
        23, 1.463341110E-03, 1.200000051E-02, 9.900000393E-01
        24, 1.449762910E-03, 1.215000015E-02, 9.900000095E-01
        25, 1.437185203E-03, 1.230000014E-02, 9.900000393E-01
        26, 1.425528682E-03, 1.245000014E-02, 9.900000095E-01
        27, 1.414716441E-03, 1.260000013E-02, 9.900000095E-01
        28, 1.404641045E-03, 1.275000013E-02, 9.900000244E-01
        29, 1.395144964E-03, 1.290000012E-02, 9.900000095E-01
        30, 1.386119442E-03, 1.305000011E-02, 9.900000338E-01
        31, 1.384872556E-03, 1.307140121E-02, 9.900000393E-01
        32, 1.372262821E-03, 1.320000001E-02, 9.900000244E-01
        33, 1.358305674E-03, 1.334999990E-02, 9.899999946E-01
        34, 1.345119012E-03, 1.349999969E-02, 9.899999797E-01
        35, 1.332673388E-03, 1.364999968E-02, 9.899999499E-01
        36, 1.320933234E-03, 1.380000049E-02, 9.900000691E-01
        37, 1.309855001E-03, 1.395000007E-02, 9.899999797E-01
        38, 1.299393716E-03, 1.410000006E-02, 9.900000095E-01
        39, 1.289476344E-03, 1.425000005E-02, 9.900000095E-01
        40, 1.280017253E-03, 1.440000004E-02, 9.899999797E-01
        41, 1.270957558E-03, 1.455000003E-02, 9.900000095E-01
        42, 1.262286781E-03, 1.470000002E-02, 9.900000244E-01
        43, 1.253995057E-03, 1.485000001E-02, 9.899999946E-01
        44, 1.246066281E-03, 1.500000000E-02, 9.900000393E-01
        45, 1.238490415E-03, 1.514999999E-02, 9.900000095E-01
        46, 1.231256778E-03, 1.529999998E-02, 9.900000386E-01
        47, 1.230929341E-03, 1.530699077E-02, 9.900000393E-01
        48, 1.220357188E-03, 1.544999997E-02, 9.899999872E-01
        49, 1.209760702E-03, 1.559999972E-02, 9.899999648E-01
        50, 1.199640652E-03, 1.574999995E-02, 9.899999946E-01
        51, 1.189969350E-03, 1.589999993E-02, 9.900000095E-01
        52, 1.180705406E-03, 1.605000040E-02, 9.900000691E-01
        53, 1.171795959E-03, 1.619999991E-02, 9.899999797E-01
        54, 1.163208938E-03, 1.635000038E-02, 9.900000691E-01
        55, 1.154927546E-03, 1.649999939E-02, 9.899999797E-01
        56, 1.146940405E-03, 1.664999987E-02, 9.900000095E-01
        57, 1.139239127E-03, 1.679999986E-02, 9.900000095E-01
        58, 1.131814082E-03, 1.694999984E-02, 9.900000095E-01
        59, 1.124650469E-03, 1.709999983E-02, 9.899999797E-01
        60, 1.117740644E-03, 1.724999982E-02, 9.900000095E-01
        61, 1.111063216E-03, 1.739999980E-02, 9.899999797E-01
        62, 1.104620499E-03, 1.754999979E-02, 9.900000095E-01
        63, 1.098386165E-03, 1.769999978E-02, 9.900000244E-01
        64, 1.092361078E-03, 1.784999976E-02, 9.900000021E-01
        65, 1.086538850E-03, 1.799999975E-02, 9.900000319E-01
        66, 1.080920152E-03, 1.814999971E-02, 9.899999984E-01
        67, 1.076988969E-03, 1.825851175E-02, 9.900000393E-01
        68, 1.074728328E-03, 1.830000014E-02, 9.900000421E-01
        69, 1.066772468E-03, 1.844999965E-02, 9.899999946E-01
        70, 1.059104335E-03, 1.859999906E-02, 9.899999574E-01
        71, 1.051738844E-03, 1.874999958E-02, 9.899999946E-01
        72, 1.044679919E-03, 1.889999926E-02, 9.900000095E-01
        73, 1.037925681E-03, 1.905000008E-02, 9.900000393E-01
        74, 1.031462795E-03, 1.919999891E-02, 9.900000095E-01
        75, 1.025290135E-03, 1.934999945E-02, 9.899999797E-01
        76, 1.019383954E-03, 1.949999941E-02, 9.900000095E-01
        77, 1.013723531E-03, 1.964999997E-02, 9.900000393E-01
        78, 1.008296543E-03, 1.979999935E-02, 9.900000393E-01
        79, 1.003097338E-03, 1.994999932E-02, 9.899999797E-01
        80, 9.980983764E-04, 2.009999928E-02, 9.900000393E-01
        81, 9.932876937E-04, 2.024999925E-02, 9.900000393E-01
        82, 9.886542963E-04, 2.039999922E-02, 9.900000095E-01
        83, 9.841743535E-04, 2.054999919E-02, 9.900000095E-01
        84, 9.798321005E-04, 2.069999915E-02, 9.900000393E-01
        85, 9.756166542E-04, 2.084999912E-02, 9.900000095E-01
        86, 9.715052758E-04, 2.099999909E-02, 9.900000393E-01
        87, 9.674934415E-04, 2.114999906E-02, 9.899999797E-01
        88, 9.635595596E-04, 2.129999903E-02, 9.900000393E-01
        89, 9.597057405E-04, 2.144999899E-02, 9.900000393E-01
        90, 9.559178253E-04, 2.159999896E-02, 9.899999797E-01
        91, 9.522015033E-04, 2.174999893E-02, 9.899999946E-01
        92, 9.485464603E-04, 2.189999890E-02, 9.900000244E-01
        93, 9.449399138E-04, 2.204999887E-02, 9.900000393E-01
        94, 9.413830201E-04, 2.219999883E-02, 9.900000393E-01
        95, 9.378744762E-04, 2.234999880E-02, 9.899999946E-01
        96, 9.344044633E-04, 2.249999877E-02, 9.899999946E-01
        97, 9.309716234E-04, 2.264999874E-02, 9.900000244E-01
        98, 9.275619812E-04, 2.279999871E-02, 9.900000058E-01
        99, 9.241732608E-04, 2.294999868E-02, 9.900000333E-01
       100, 9.230556983E-04, 2.299980562E-02, 9.900000095E-01
       101, 9.197780817E-04, 2.309999817E-02, 9.899999890E-01
       102, 9.149085778E-04, 2.324999809E-02, 9.900000095E-01
       103, 9.100776947E-04, 2.339999823E-02, 9.899999946E-01
       104, 9.052685491E-04, 2.354999890E-02, 9.900000244E-01
       105, 9.004969825E-04, 2.369999852E-02, 9.900000393E-01
       106, 8.957536100E-04, 2.384999884E-02, 9.899999946E-01
       107, 8.910429302E-04, 2.399999881E-02, 9.899999946E-01
       108, 8.863662025E-04, 2.414999878E-02, 9.900000095E-01
       109, 8.817217134E-04, 2.429999767E-02, 9.899999499E-01
       110, 8.771212543E-04, 2.444999836E-02, 9.900000095E-01
       111, 8.725462271E-04, 2.459999833E-02, 9.900000095E-01
       112, 8.680093595E-04, 2.474999756E-02, 9.900000095E-01
       113, 8.635030487E-04, 2.489999827E-02, 9.900000095E-01
       114, 8.590341450E-04, 2.504999823E-02, 9.900000095E-01
       115, 8.545955918E-04, 2.519999895E-02, 9.900000393E-01
       116, 8.501941841E-04, 2.534999817E-02, 9.900000393E-01
       117, 8.458260173E-04, 2.549999814E-02, 9.900000095E-01
       118, 8.414933719E-04, 2.564999811E-02, 9.900000095E-01
       119, 8.371861814E-04, 2.579999808E-02, 9.900000095E-01
       120, 8.329140718E-04, 2.594999805E-02, 9.900000393E-01
       121, 8.286752077E-04, 2.609999802E-02, 9.899999797E-01
       122, 8.244696535E-04, 2.624999798E-02, 9.899999797E-01
       123, 8.202922796E-04, 2.639999795E-02, 9.900000095E-01
       124, 8.161372498E-04, 2.654999792E-02, 9.900000393E-01
       125, 8.120152363E-04, 2.669999789E-02, 9.900000095E-01
       126, 8.079308087E-04, 2.684999786E-02, 9.899999946E-01
       127, 8.038727169E-04, 2.699999783E-02, 9.900000244E-01
       128, 7.998355929E-04, 2.714999780E-02, 9.899999797E-01
       129, 7.958272182E-04, 2.729999777E-02, 9.900000244E-01
       130, 7.918421878E-04, 2.744999774E-02, 9.899999946E-01
       131, 7.878786941E-04, 2.759999771E-02, 9.899999946E-01
       132, 7.839261753E-04, 2.774999767E-02, 9.900000244E-01
       133, 7.800043051E-04, 2.789999764E-02, 9.900000244E-01
       134, 7.760953826E-04, 2.804999761E-02, 9.899999872E-01
       135, 7.721960677E-04, 2.819999758E-02, 9.899999890E-01
       136, 7.691247211E-04, 2.831853153E-02, 9.900000095E-01
       137, 7.679545262E-04, 2.834999807E-02, 9.900000440E-01
       138, 7.624240972E-04, 2.849999773E-02, 9.900000207E-01
       139, 7.569541875E-04, 2.864999749E-02, 9.900000021E-01
       140, 7.515618448E-04, 2.879999725E-02, 9.900000170E-01
       141, 7.462229538E-04, 2.894999829E-02, 9.900000244E-01
       142, 7.409412355E-04, 2.909999653E-02, 9.899999946E-01
       143, 7.357286878E-04, 2.924999650E-02, 9.900000095E-01
       144, 7.305547354E-04, 2.939999821E-02, 9.900000244E-01
       145, 7.254772715E-04, 2.954999731E-02, 9.900000095E-01
       146, 7.204516993E-04, 2.969999728E-02, 9.900000095E-01
       147, 7.156729959E-04, 2.984999849E-02, 9.900000393E-01
       148, 7.134320513E-04, 3.000000000E-02, 9.899999797E-01
