nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 2.000000000E-03, 9.194960403E-03, 9.900000095E-01
         2, 1.900172421E-03, 9.300000053E-03, 9.900000095E-01
         3, 1.846583277E-03, 9.380866581E-03, 9.899999499E-01
         4, 1.820988885E-03, 9.450000092E-03, 9.900000095E-01
         5, 1.779434081E-03, 9.600000111E-03, 9.900000393E-01
         6, 1.747499349E-03, 9.750000123E-03, 9.900000095E-01
         7, 1.721261203E-03, 9.900000132E-03, 9.900000095E-01
         8, 1.698995568E-03, 1.005000014E-02, 9.900000207E-01
         9, 1.692764926E-03, 1.009762328E-02, 9.900000393E-01
        10, 1.672479087E-03, 1.019999999E-02, 9.899999648E-01
        11, 1.646885117E-03, 1.035000046E-02, 9.900000095E-01
        12, 1.624580667E-03, 1.050000047E-02, 9.900000393E-01
        13, 1.604673019E-03, 1.065000016E-02, 9.899999797E-01
        14, 1.586836884E-03, 1.080000016E-02, 9.900000393E-01
        15, 1.570839717E-03, 1.095000016E-02, 9.900000244E-01
        16, 1.556453451E-03, 1.110000016E-02, 9.900000244E-01
        17, 1.543443074E-03, 1.125000016E-02, 9.900000002E-01
        18, 1.538817639E-03, 1.130683889E-02, 9.900000393E-01
        19, 1.526164756E-03, 1.140000024E-02, 9.900000021E-01
        20, 1.507007256E-03, 1.155000016E-02, 9.899999797E-01
        21, 1.489265958E-03, 1.170000016E-02, 9.900000393E-01
        22, 1.472872904E-03, 1.185000051E-02, 9.900000393E-01
        23, 1.457734420E-03, 1.200000015E-02, 9.899999797E-01
        24, 1.443745101E-03, 1.215000015E-02, 9.900000095E-01
        25, 1.430784496E-03, 1.230000014E-02, 9.900000095E-01
        26, 1.418646469E-03, 1.245000014E-02, 9.900000095E-01
        27, 1.407156938E-03, 1.260000013E-02, 9.900000095E-01
        28, 1.396276820E-03, 1.275000013E-02, 9.900000244E-01
        29, 1.385975174E-03, 1.290000012E-02, 9.900000053E-01
        30, 1.384871942E-03, 1.291666368E-02, 9.900000319E-01
        31, 1.370683414E-03, 1.304999992E-02, 9.899999797E-01
        32, 1.355619197E-03, 1.320000031E-02, 9.900000095E-01
        33, 1.341442132E-03, 1.334999970E-02, 9.899999797E-01
        34, 1.328083709E-03, 1.350000009E-02, 9.900000095E-01
        35, 1.315436299E-03, 1.365000049E-02, 9.900000393E-01
        36, 1.303379555E-03, 1.380000008E-02, 9.900000095E-01
        37, 1.291865285E-03, 1.395000007E-02, 9.900000393E-01
        38, 1.280868188E-03, 1.410000006E-02, 9.900000095E-01
        39, 1.270368372E-03, 1.425000005E-02, 9.899999797E-01
        40, 1.260346142E-03, 1.440000004E-02, 9.900000393E-01
        41, 1.250785644E-03, 1.455000003E-02, 9.900000393E-01
        42, 1.241658972E-03, 1.470000002E-02, 9.899999872E-01
        43, 1.232953802E-03, 1.485000001E-02, 9.900000235E-01
        44, 1.230927672E-03, 1.488606331E-02, 9.900000095E-01
        45, 1.221309401E-03, 1.499999983E-02, 9.899999909E-01
        46, 1.209126519E-03, 1.514999954E-02, 9.899999797E-01
        47, 1.197427792E-03, 1.529999998E-02, 9.900000244E-01
        48, 1.186175815E-03, 1.544999997E-02, 9.900000095E-01
        49, 1.175355793E-03, 1.559999996E-02, 9.900000095E-01
        50, 1.164950285E-03, 1.575000041E-02, 9.900000393E-01
        51, 1.154942142E-03, 1.589999946E-02, 9.899999797E-01
        52, 1.145319314E-03, 1.604999992E-02, 9.900000095E-01
        53, 1.136071176E-03, 1.619999991E-02, 9.899999797E-01
        54, 1.127175553E-03, 1.634999989E-02, 9.900000393E-01
        55, 1.118618130E-03, 1.649999988E-02, 9.900000095E-01
        56, 1.110375939E-03, 1.664999987E-02, 9.900000244E-01
        57, 1.102421626E-03, 1.679999985E-02, 9.900000244E-01
        58, 1.094720670E-03, 1.694999984E-02, 9.900000244E-01
        59, 1.087255011E-03, 1.709999982E-02, 9.899999946E-01
        60, 1.079998772E-03, 1.724999981E-02, 9.899999984E-01
        61, 1.076985220E-03, 1.731356311E-02, 9.900000095E-01
        62, 1.071113365E-03, 1.740000018E-02, 9.900000058E-01
        63, 1.061105517E-03, 1.754999952E-02, 9.899999797E-01
        64, 1.051321573E-03, 1.769999976E-02, 9.899999946E-01
        65, 1.041761988E-03, 1.785000001E-02, 9.900000095E-01
        66, 1.032440104E-03, 1.799999973E-02, 9.900000095E-01
        67, 1.023375785E-03, 1.814999970E-02, 9.900000393E-01
        68, 1.014600619E-03, 1.829999966E-02, 9.900000095E-01
        69, 1.006116239E-03, 1.844999908E-02, 9.899999499E-01
        70, 9.979407875E-04, 1.859999960E-02, 9.900000393E-01
        71, 9.900702077E-04, 1.874999956E-02, 9.900000095E-01
        72, 9.825058398E-04, 1.889999953E-02, 9.900000095E-01
        73, 9.752292576E-04, 1.904999950E-02, 9.900000095E-01
        74, 9.682328634E-04, 1.919999946E-02, 9.900000393E-01
        75, 9.615031313E-04, 1.934999943E-02, 9.900000393E-01
        76, 9.550145053E-04, 1.949999940E-02, 9.899999797E-01
        77, 9.487509272E-04, 1.964999937E-02, 9.900000244E-01
        78, 9.426840238E-04, 1.979999933E-02, 9.900000244E-01
        79, 9.368047565E-04, 1.994999930E-02, 9.899999797E-01
        80, 9.310883036E-04, 2.009999927E-02, 9.899999872E-01
        81, 9.255244244E-04, 2.024999924E-02, 9.899999946E-01
        82, 9.230450603E-04, 2.031860231E-02, 9.900000393E-01
        83, 9.188997696E-04, 2.039999920E-02, 9.900000393E-01
        84, 9.114538615E-04, 2.054999902E-02, 9.899999872E-01
        85, 9.041787521E-04, 2.069999960E-02, 9.900000468E-01
        86, 8.970423110E-04, 2.084999911E-02, 9.899999946E-01
        87, 8.900439026E-04, 2.099999970E-02, 9.900000244E-01
        88, 8.831627715E-04, 2.114999841E-02, 9.899999499E-01
        89, 8.764022300E-04, 2.129999901E-02, 9.900000095E-01
        90, 8.697507164E-04, 2.144999898E-02, 9.899999797E-01
        91, 8.631899284E-04, 2.159999894E-02, 9.900000095E-01
        92, 8.567150944E-04, 2.174999891E-02, 9.900000095E-01
        93, 8.503344548E-04, 2.189999888E-02, 9.899999797E-01
        94, 8.440277941E-04, 2.204999885E-02, 9.900000095E-01
        95, 8.377919191E-04, 2.219999882E-02, 9.899999797E-01
        96, 8.316219664E-04, 2.234999878E-02, 9.899999797E-01
        97, 8.255274149E-04, 2.249999875E-02, 9.900000095E-01
        98, 8.194862510E-04, 2.264999872E-02, 9.900000393E-01
        99, 8.135035949E-04, 2.279999869E-02, 9.900000095E-01
       100, 8.075762074E-04, 2.294999866E-02, 9.900000095E-01
       101, 8.016965915E-04, 2.309999863E-02, 9.900000393E-01
       102, 7.958684360E-04, 2.324999859E-02, 9.899999946E-01
       103, 7.900866758E-04, 2.339999856E-02, 9.900000244E-01
       104, 7.843486954E-04, 2.354999853E-02, 9.900000244E-01
       105, 7.786440984E-04, 2.369999850E-02, 9.900000319E-01
       106, 7.729836849E-04, 2.384999847E-02, 9.900000356E-01
       107, 7.691073781E-04, 2.395338842E-02, 9.899999797E-01
       108, 7.666011906E-04, 2.399999875E-02, 9.899999984E-01
       109, 7.586142296E-04, 2.414999805E-02, 9.899999797E-01
       110, 7.507114642E-04, 2.429999819E-02, 9.899999872E-01
       111, 7.428542223E-04, 2.444999798E-02, 9.899999946E-01
       112, 7.350573739E-04, 2.459999794E-02, 9.899999946E-01
       113, 7.273310359E-04, 2.474999828E-02, 9.900000393E-01
       114, 7.196740796E-04, 2.489999751E-02, 9.899999797E-01
       115, 7.120763927E-04, 2.504999822E-02, 9.900000095E-01
       116, 7.045396546E-04, 2.519999819E-02, 9.899999797E-01
       117, 6.970651040E-04, 2.534999891E-02, 9.900000393E-01
       118, 6.896609078E-04, 2.549999812E-02, 9.900000095E-01
       119, 6.823158525E-04, 2.564999809E-02, 9.900000393E-01
       120, 6.750277360E-04, 2.579999806E-02, 9.900000095E-01
       121, 6.678107721E-04, 2.594999803E-02, 9.900000393E-01
       122, 6.606487190E-04, 2.609999800E-02, 9.900000095E-01
       123, 6.535481468E-04, 2.624999797E-02, 9.899999797E-01
       124, 6.465000262E-04, 2.639999794E-02, 9.900000244E-01
       125, 6.395107804E-04, 2.654999791E-02, 9.900000244E-01
       126, 6.325808408E-04, 2.669999788E-02, 9.899999946E-01
       127, 6.256934515E-04, 2.684999785E-02, 9.900000170E-01
       128, 6.188493558E-04, 2.699999782E-02, 9.899999946E-01
       129, 6.151677323E-04, 2.708138281E-02, 9.900000095E-01
       130, 6.105421053E-04, 2.714999723E-02, 9.899999909E-01
       131, 6.005652626E-04, 2.729999776E-02, 9.900000095E-01
       132, 5.906721506E-04, 2.744999813E-02, 9.900000095E-01
       133, 5.809067607E-04, 2.759999728E-02, 9.900000244E-01
       134, 5.712502403E-04, 2.774999767E-02, 9.900000393E-01
       135, 5.617091411E-04, 2.789999763E-02, 9.900000095E-01
       136, 5.522730643E-04, 2.804999760E-02, 9.900000095E-01
       137, 5.429436293E-04, 2.819999841E-02, 9.900000393E-01
       138, 5.337126189E-04, 2.834999754E-02, 9.899999797E-01
       139, 5.246034738E-04, 2.849999751E-02, 9.900000095E-01
       140, 5.155881743E-04, 2.864999748E-02, 9.899999797E-01
       141, 5.066735200E-04, 2.879999745E-02, 9.900000095E-01
       142, 4.978360564E-04, 2.894999743E-02, 9.900000244E-01
       143, 4.891167005E-04, 2.909999740E-02, 9.899999946E-01
       144, 4.804570086E-04, 2.924999737E-02, 9.899999797E-01
       145, 4.719025683E-04, 2.939999734E-02, 9.900000319E-01
       146, 4.635159435E-04, 2.954999731E-02, 9.899999825E-01
       147, 4.612256150E-04, 2.959197843E-02, 9.900000095E-01
       148, 4.517869536E-04, 2.969999772E-02, 9.900000542E-01
       149, 4.401519515E-04, 2.984999804E-02, 9.900000244E-01
       150, 4.350217379E-04, 2.999999911E-02, 9.899999499E-01
