nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 2.000000000E-03, 9.168442646E-03, 9.900000021E-01
         2, 1.877523721E-03, 9.300000065E-03, 9.899999946E-01
         3, 1.846583205E-03, 9.348608118E-03, 9.900000393E-01
         4, 1.809947530E-03, 9.449999957E-03, 9.899999946E-01
         5, 1.770633285E-03, 9.600000115E-03, 9.900000095E-01
         6, 1.740764409E-03, 9.750000127E-03, 9.900000095E-01
         7, 1.716403753E-03, 9.900000135E-03, 9.900000095E-01
         8, 1.695625022E-03, 1.005000014E-02, 9.900000282E-01
         9, 1.692764829E-03, 1.007310152E-02, 9.899999946E-01
        10, 1.667948167E-03, 1.020000045E-02, 9.900000393E-01
        11, 1.642997852E-03, 1.035000046E-02, 9.900000393E-01
        12, 1.621661919E-03, 1.050000047E-02, 9.900000095E-01
        13, 1.602898284E-03, 1.065000016E-02, 9.899999797E-01
        14, 1.586020151E-03, 1.080000016E-02, 9.900000095E-01
        15, 1.570816225E-03, 1.095000016E-02, 9.899999946E-01
        16, 1.557111205E-03, 1.110000016E-02, 9.900000319E-01
        17, 1.544729916E-03, 1.125000016E-02, 9.899999909E-01
        18, 1.538817722E-03, 1.132782345E-02, 9.899999797E-01
        19, 1.529297282E-03, 1.139999986E-02, 9.899999760E-01
        20, 1.510978439E-03, 1.155000016E-02, 9.900000244E-01
        21, 1.494043288E-03, 1.169999981E-02, 9.899999797E-01
        22, 1.478270463E-03, 1.184999980E-02, 9.900000095E-01
        23, 1.463625642E-03, 1.200000015E-02, 9.900000095E-01
        24, 1.450049549E-03, 1.215000015E-02, 9.900000095E-01
        25, 1.437473282E-03, 1.230000014E-02, 9.900000095E-01
        26, 1.425822331E-03, 1.245000014E-02, 9.900000095E-01
        27, 1.415009320E-03, 1.260000013E-02, 9.900000393E-01
        28, 1.404945348E-03, 1.275000013E-02, 9.900000244E-01
        29, 1.395460471E-03, 1.290000012E-02, 9.899999946E-01
        30, 1.386445648E-03, 1.305000011E-02, 9.899999890E-01
        31, 1.384872578E-03, 1.307705786E-02, 9.900000095E-01
        32, 1.372829849E-03, 1.320000040E-02, 9.900000244E-01
        33, 1.358863728E-03, 1.335000030E-02, 9.900000393E-01
        34, 1.345672102E-03, 1.350000009E-02, 9.900000393E-01
        35, 1.333226533E-03, 1.364999968E-02, 9.899999797E-01
        36, 1.321482874E-03, 1.380000049E-02, 9.900000095E-01
        37, 1.310400200E-03, 1.395000048E-02, 9.900000095E-01
        38, 1.299939988E-03, 1.410000006E-02, 9.900000095E-01
        39, 1.290024800E-03, 1.425000005E-02, 9.900000095E-01
        40, 1.280568269E-03, 1.440000004E-02, 9.900000095E-01
        41, 1.271519503E-03, 1.455000003E-02, 9.900000095E-01
        42, 1.262854663E-03, 1.470000002E-02, 9.899999797E-01
        43, 1.254564572E-03, 1.485000001E-02, 9.900000244E-01
        44, 1.246642816E-03, 1.500000000E-02, 9.900000021E-01
        45, 1.239073236E-03, 1.514999999E-02, 9.900000058E-01
        46, 1.231840305E-03, 1.529999998E-02, 9.900000035E-01
        47, 1.230929391E-03, 1.531949566E-02, 9.900000095E-01
        48, 1.221293559E-03, 1.545000020E-02, 9.900000021E-01
        49, 1.210688841E-03, 1.559999996E-02, 9.900000095E-01
        50, 1.200562008E-03, 1.575000042E-02, 9.900000542E-01
        51, 1.190885026E-03, 1.590000041E-02, 9.900000393E-01
        52, 1.181620453E-03, 1.604999944E-02, 9.899999499E-01
        53, 1.172713800E-03, 1.619999943E-02, 9.899999797E-01
        54, 1.164130413E-03, 1.634999990E-02, 9.900000393E-01
