nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
        97, 9.612463963E-04, 2.264999874E-02, 9.900000095E-01
        98, 9.580254821E-04, 2.279999871E-02, 9.900000244E-01
        99, 9.548360517E-04, 2.294999868E-02, 9.900000244E-01
       100, 9.516891992E-04, 2.309999865E-02, 9.900000095E-01
       101, 9.485729035E-04, 2.324999862E-02, 9.899999797E-01
       102, 9.454861555E-04, 2.339999859E-02, 9.900000095E-01
       103, 9.424169800E-04, 2.354999855E-02, 9.899999872E-01
       104, 9.393774621E-04, 2.369999852E-02, 9.899999946E-01
       105, 9.363477629E-04, 2.384999849E-02, 9.900000244E-01
       106, 9.333358655E-04, 2.399999846E-02, 9.899999946E-01
       107, 9.303363011E-04, 2.414999843E-02, 9.899999797E-01
       108, 9.273511434E-04, 2.429999840E-02, 9.900000207E-01
       109, 9.243729230E-04, 2.444999837E-02, 9.899999807E-01
       110, 9.230617152E-04, 2.451630933E-02, 9.900000095E-01
       111, 9.206087620E-04, 2.459999765E-02, 9.899999686E-01
       112, 9.162245916E-04, 2.474999849E-02, 9.900000133E-01
       113, 9.118728859E-04, 2.489999901E-02, 9.900000319E-01
       114, 9.075530975E-04, 2.504999843E-02, 9.900000095E-01
       115, 9.032534442E-04, 2.519999821E-02, 9.899999946E-01
       116, 8.989843397E-04, 2.534999893E-02, 9.900000393E-01
       117, 8.947499996E-04, 2.549999890E-02, 9.900000542E-01
       118, 8.905526673E-04, 2.564999735E-02, 9.899999797E-01
       119, 8.863793974E-04, 2.579999770E-02, 9.899999648E-01
       120, 8.822354640E-04, 2.594999805E-02, 9.899999797E-01
       121, 8.781224294E-04, 2.609999880E-02, 9.900000393E-01
       122, 8.740444068E-04, 2.624999721E-02, 9.899999499E-01
       123, 8.699962025E-04, 2.639999796E-02, 9.900000393E-01
       124, 8.659774448E-04, 2.654999713E-02, 9.899999797E-01
       125, 8.619886888E-04, 2.669999869E-02, 9.900000393E-01
       126, 8.580299805E-04, 2.684999786E-02, 9.900000393E-01
       127, 8.541023889E-04, 2.699999864E-02, 9.900000095E-01
       128, 8.502025326E-04, 2.714999699E-02, 9.899999797E-01
       129, 8.463311135E-04, 2.729999696E-02, 9.899999797E-01
       130, 8.424853466E-04, 2.744999774E-02, 9.900000095E-01
       131, 8.386723344E-04, 2.759999771E-02, 9.900000095E-01
       132, 8.348857957E-04, 2.774999768E-02, 9.900000393E-01
       133, 8.311211424E-04, 2.789999765E-02, 9.900000393E-01
       134, 8.273932675E-04, 2.804999762E-02, 9.900000095E-01
       135, 8.236772116E-04, 2.819999758E-02, 9.900000095E-01
       136, 8.199893911E-04, 2.834999755E-02, 9.900000095E-01
       137, 8.163224283E-04, 2.849999752E-02, 9.899999797E-01
       138, 8.126717624E-04, 2.864999749E-02, 9.899999797E-01
       139, 8.090324752E-04, 2.879999746E-02, 9.900000393E-01
       140, 8.054109807E-04, 2.894999743E-02, 9.899999946E-01
       141, 8.017941936E-04, 2.909999740E-02, 9.900000393E-01
       142, 7.981807926E-04, 2.924999737E-02, 9.899999946E-01
       143, 7.945517644E-04, 2.939999734E-02, 9.900000244E-01
       144, 7.909582299E-04, 2.954999731E-02, 9.900000244E-01
       145, 7.874382432E-04, 2.969999728E-02, 9.899999872E-01
       146, 7.840609840E-04, 2.984999760E-02, 9.900000319E-01
       147, 7.824390973E-04, 3.000000000E-02, 9.900000244E-01
