nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 1.999999940E-03, 9.125389749E-03, 9.899999797E-01
         2, 1.960885906E-03, 9.150000021E-03, 9.900000393E-01
         3, 1.846582998E-03, 9.292914844E-03, 9.900000319E-01
         4, 1.843323222E-03, 9.300000187E-03, 9.900000077E-01
         5, 1.794007663E-03, 9.450000106E-03, 9.900000393E-01
         6, 1.761313957E-03, 9.600000120E-03, 9.899999797E-01
         7, 1.736967172E-03, 9.750000128E-03, 9.900000095E-01
         8, 1.717581827E-03, 9.900000134E-03, 9.899999797E-01
         9, 1.701494469E-03, 1.005000014E-02, 9.900000021E-01
        10, 1.692765103E-03, 1.014234033E-02, 9.900000393E-01
        11, 1.682217720E-03, 1.019999991E-02, 9.900000170E-01
        12, 1.658059378E-03, 1.035000015E-02, 9.899999797E-01
        13, 1.637567606E-03, 1.049999984E-02, 9.900000095E-01
        14, 1.619972743E-03, 1.064999984E-02, 9.900000095E-01
        15, 1.604701638E-03, 1.080000015E-02, 9.900000095E-01
        16, 1.591325807E-03, 1.095000015E-02, 9.899999797E-01
        17, 1.579511867E-03, 1.110000015E-02, 9.900000095E-01
        18, 1.569003783E-03, 1.125000015E-02, 9.900000244E-01
        19, 1.559485817E-03, 1.140000015E-02, 9.899999946E-01
        20, 1.550722442E-03, 1.155000014E-02, 9.900000095E-01
        21, 1.542642505E-03, 1.170000014E-02, 9.900000170E-01
        22, 1.538819453E-03, 1.177570888E-02, 9.899999797E-01
        23, 1.531112784E-03, 1.184999992E-02, 9.899999648E-01
        24, 1.516591396E-03, 1.200000014E-02, 9.899999797E-01
        25, 1.503291978E-03, 1.215000031E-02, 9.900000095E-01
        26, 1.491097749E-03, 1.230000049E-02, 9.900000095E-01
        27, 1.479901326E-03, 1.245000049E-02, 9.900000393E-01
        28, 1.469598345E-03, 1.260000012E-02, 9.899999797E-01
        29, 1.460097703E-03, 1.275000011E-02, 9.900000393E-01
        30, 1.451316967E-03, 1.290000011E-02, 9.899999797E-01
        31, 1.443168053E-03, 1.305000010E-02, 9.900000095E-01
        32, 1.435529751E-03, 1.320000010E-02, 9.900000393E-01
        33, 1.428321789E-03, 1.335000009E-02, 9.899999797E-01
